post,country,clean_post,sentiment,created_date,created_utc,vader_sentiment
Took 10 calendar days to have iphone 17 pro max delivered from T-Mobile.,United States,took calendar days iphone pro max delivered mobile,neutral,,,neutral
Time for an upgrade: I am trading it in !!!,United States,time upgrade trading,neutral,,,neutral
Iphone 17 pro max battery drain,United States,iphone pro max battery drain,neutral,,,neutral
Upgraded to iphone 17 pro max 512 GB,India,upgraded iphone pro max gb,neutral,,,neutral
"Utilizador transforma iPhone 17 Pro Max em ""monstro"" de gaming com dissipadores de SSD",United States,utilizador transforma iphone pro max em monstro de gaming com dissipadores de ssd,neutral,,,neutral
Iphone 17 ProMax camera is incredible,United States,iphone promax camera incredible,positive,,,neutral
Iphone 17 ProMax camera is incredible,United States,iphone promax camera incredible,positive,,,neutral
"Iphone 17 pro max for wife, second thoughts now",United States,iphone pro max wife second thoughts,neutral,,,neutral
"Iphone 17 pro max for wife, second thoughts now",United States,iphone pro max wife second thoughts,neutral,,,neutral
Cancel and reorder or wait for response?,United States,cancel reorder wait response,negative,,,negative
IOS 26. Alarms not working,United States,ios alarms working,negative,,,negative
Pejabat Polri Disorot Saat Pakai Iphone 17 Pro Max yang Belum Masuk Indonesia​​​​​​​​​​​​,Indonesia,pejabat polri disorot saat pakai iphone pro max yang belum masuk indonesia,neutral,,,neutral
Camera sound. should i be worried?,United States,camera sound worried,positive,,,negative
Why all these Screen protectors suck so much?,United States,screen protectors suck much,negative,,,negative
shipping iphone us to nz,United States,shipping iphone us nz,neutral,,,neutral
iPhone 17 Pro Max Troubleshooting,United States,iphone pro max troubleshooting,positive,,,positive
iPad Pro m2 vs IPhone 17 Pro Max,United States,ipad pro vs iphone pro max,neutral,,,neutral
iphone 17 pro max orange lable created,United States,iphone pro max orange lable created,positive,,,positive
Dear ATT regarding my Iphone 17 pro Max,United States,dear att regarding iphone pro max,positive,,,positive
My new iPhone 17 Pro Max (Cosmic Orange) feels special,United States,new iphone pro max cosmic orange feels special,positive,,,positive
Iphone 17 Pro Max Battery,Philippines,iphone pro max battery,neutral,,,neutral
Iphone 17 ProMax Battery,United States,iphone promax battery,neutral,,,neutral
Weird contacts bug,United States,weird contacts bug,negative,,,negative
IPhone 17 Pro Max Night Mode Shots of Northern Lights,United States,iphone pro max night mode shots northern lights,neutral,,,neutral
sell as rep to curious buyers,Brazil,sell rep curious buyers,positive,,,positive
Battery after 8 days,United States,battery days,neutral,,,neutral
Mous Limitless vs Spigen Tough Armor for Iphone 17 Pro Max,United States,mous limitless vs spigen tough armor iphone pro max,negative,,,negative
Argos restock,United States,argos restock,neutral,,,neutral
My iphone 17 Pro max Screen on time 12h im surprised 🧡🪩.,United States,iphone pro max screen time im surprised,positive,,,positive
My iphone 17 Pro max Screen on time 12h im surprised 🧡🪩.,United States,iphone pro max screen time im surprised,positive,,,positive
SWISS PRICING!!!!,United States,swiss pricing,neutral,,,neutral
Iphone 17 pro max,Jordan,iphone pro max,neutral,,,neutral
Iphone 17 pro max,United States,iphone pro max,neutral,,,neutral
magsafe case for the iphone 17 pro max with the strongest magnets,United States,magsafe case iphone pro max strongest magnets,positive,,,positive
Help with App on IPhone 17 Pro Max,United States,help app iphone pro max,positive,,,positive
Nomad,United States,nomad,neutral,,,neutral
Crop and Edit not showing up on every screen shot,United States,crop edit showing every screen shot,neutral,,,neutral
Can you suggest Cases for iphone 17 pro max,United States,can suggest cases iphone pro max,neutral,,,neutral
My iPhone17 pro max is SO BEAUTIFUL 🧡🪩.,United States,iphone pro max beautiful,positive,,,positive
It's Spooky Month! (FNAF/Blender),United States,spooky month fnaf blender,neutral,,,neutral
Iphone 17 pro max,UAE,iphone pro max,neutral,,,neutral
Having second thoughts about buying the new IPhone 17 Pro Max,United States,second thoughts buying new iphone pro max,neutral,,,neutral
Second thoughts about buying the new IPhone 17 Pro Max,United States,second thoughts buying new iphone pro max,neutral,,,neutral
Replacement colored buttons,United States,replacement colored buttons,neutral,,,neutral
"""move device closer to continue"" issues",United States,move device closer continue issues,neutral,,,neutral
iphone 17 pro max,United States,iphone pro max,neutral,,,neutral
RC2 vs RC-N3 w/ Iphone 17 Pro Max (Neo/Flip),United States,rc vs rc iphone pro max neo flip,neutral,,,neutral
"Nomad, Andar Aspen, LONLI, Clayton & Crume, or Belemay?",United States,nomad andar aspen lonli clayton crume belemay,neutral,,,neutral
I didn't expect to like my IPhone 17 Pro Max this much...,United States,didn expect like iphone pro max much,positive,,,positive
Looking for Aulumu case review,United States,looking aulumu case review,neutral,,,neutral
Upgrade sharing?,United States,upgrade sharing,positive,,,positive
Android Police on Pixel 10 Pro XL and iPhone 17 Pro Max.,United States,android police pixel pro xl iphone pro max,neutral,,,neutral
iPhone 17 Pro  issues with Home Router,United States,iphone pro issues home router,neutral,,,neutral
is there any cover that completely disables the useless camera button ?,United States,cover completely disables useless camera button,negative,,,negative
"I cracked my phone, am I still able to get $1,100 toward the iphone 17 pro max?",United States,cracked phone still able get toward iphone pro max,positive,,,neutral
Got Metroid Samus Returns running on IPhone 17 Pro Max,United States,got metroid samus returns running iphone pro max,neutral,,,neutral
Iphone 17 pro max: New York Times games don’t work,United States,iphone pro max new york times games don work,positive,,,neutral
AT&T Trade in purchase via bestbuy Iphone 17 Pro Max,United States,trade purchase via bestbuy iphone pro max,neutral,,,neutral
AT&T Trade in purchase via bestbuy Iphone 17 Pro Max,United States,trade purchase via bestbuy iphone pro max,neutral,,,neutral
IPhone 17 pro max,United States,iphone pro max,neutral,,,neutral
¿VALE LA PENA UN IPHONE EN ELEKTRA a pagos eternos?,United States,vale la pena un iphone en elektra pagos eternos,neutral,,,neutral
Slow speeds when connected to Carplay.,United States,slow speeds connected carplay,negative,,,neutral
Phone upgrade:Iphone 17 pro max or Z fold 7,United States,phone upgrade iphone pro max fold,neutral,,,neutral
iPhone 17,United States,iphone,neutral,,,neutral
????,India,,neutral,,,neutral
g8 galileo vs g8 plus for steam link / moonlight on iphone 17 pro max,United States,galileo vs plus steam link moonlight iphone pro max,neutral,,,neutral
I manifested my business phone.,United States,manifested business phone,neutral,,,neutral
Google Pixel 10 Pro XL signal issues,United States,google pixel pro xl signal issues,neutral,,,neutral
I want to order a case from dbrand iphone 17 pro max be honest is it worth the price ?,United States,want order case dbrand iphone pro max honest worth price,positive,,,positive
Give em hell: +1 (816) 406-5340,United States,give em hell,negative,,,negative
what’s your favorite device setup?,United States,favorite device setup,positive,,,positive
"ordered iphone 17 pro max on 9/27, says it won’t ship until 10/24?",United States,ordered iphone pro max says won ship,positive,,,positive
what’s your favorite steam link setup?,United States,favorite steam link setup,positive,,,positive
orange phone so loud it made me forget the 17 even dropped,United States,orange phone loud made forget even dropped,negative,,,negative
iPhone 17 pro max,United States,iphone pro max,neutral,,,neutral
Iphone 17 pro/max u iStyle?,United States,iphone pro max istyle,neutral,,,neutral
"ESR, Supcase, Caudabe, or Dbrand cases?",United States,esr supcase caudabe dbrand cases,neutral,,,neutral
GST Invoice iPhone,United States,gst invoice iphone,neutral,,,neutral
New Phone Dilemma... Advice Needed,United States,new phone dilemma advice needed,neutral,,,negative
iPhone 17 Camera Clicking Sound - driven by iOS 26 or Hardware?,United States,iphone camera clicking sound driven ios hardware,positive,,,neutral
General Feelings of the IPhone 17 Pro Max and IOS26,United States,general feelings iphone pro max ios,neutral,,,neutral
iPhone 17 Pro Max Review: First Week Ownership Experience,United States,iphone pro max review first week ownership experience,positive,,,neutral
Low power mode is very annoying on iOS26,United States,low power mode annoying ios,negative,,,negative
Favorite slim profile magsafe wallet that can fit 4 cards?,United States,favorite slim profile magsafe wallet can fit cards,positive,,,positive
I ordered an iphone 17 pro max on 9/15 but it’s not slated to arrive until like 11/7. Is that normal? A lot of people i know ordered theirs way later than me and already received their phones.,United States,ordered iphone pro max slated arrive like normal lot people know ordered way later already received phones,positive,,,positive
La photo c’est en option,United States,la photo est en option,neutral,,,neutral
GSMArena's 17 Pro Max review,United States,gsmarena pro max review,neutral,,,neutral
Facts hurt 😂😂,United States,facts hurt,negative,,,negative
iphone 17 pro max awaiting confirmation tracking,United States,iphone pro max awaiting confirmation tracking,neutral,,,neutral
Looking for iPhone 17 pro max,UAE,looking iphone pro max,neutral,,,neutral
Iphone 17 pro max vs Vivo x200 pro,United States,iphone pro max vs vivo pro,neutral,,,neutral
Iphone 17 pro max,United States,iphone pro max,neutral,,,neutral
My take on the 17 Series Case Design,United States,take series case design,neutral,,,neutral
iphone 8 Plus,United States,iphone plus,neutral,,,neutral
Cancelled iphone 17 Order,United States,cancelled iphone order,negative,,,negative
Any iphone 17 pro max cases theat fully remove the camera control button?,United States,iphone pro max cases theat fully remove camera control button,neutral,,,neutral
Mai office wallo sae badla kaise lu,United States,mai office wallo sae badla kaise lu,neutral,,,neutral
Iphone 17 pro max,United States,iphone pro max,neutral,,,neutral
Is the iphone 17 pro max really annoying to hold in your pocket/hand ?,United States,iphone pro max really annoying hold pocket hand,negative,,,positive
Lied to in store and was told to deal with it iphone 17 pro max,United States,lied store told deal iphone pro max,negative,,,negative
Lied to in store and was told to deal with it iphone 17 pro max,United States,lied store told deal iphone pro max,negative,,,negative
UniFi Cloud Gateway Ultra and slow downloads from iPhone AppStore,United States,unifi cloud gateway ultra slow downloads iphone appstore,negative,,,neutral
Iphone 17 Pro Max vs Pixel 10 Pro XL: The Answer Is Clear,United States,iphone pro max vs pixel pro xl answer clear,positive,,,positive
Apple forced me to pay 1.1k dollars,United States,apple forced pay dollars,negative,,,negative
Trueplay not working on iphone 17 pro max ?,United States,trueplay working iphone pro max,neutral,,,neutral
iPhone 17 Pro Max | iOS26 Is Actually Crazy Battery Nightmare | Power Consumption Deep Dive,United States,iphone pro max ios actually crazy battery nightmare power consumption deep dive,negative,,,negative
Iphone 17 Pro Max Blue 512 still not shipped,United States,iphone pro max blue still shipped,neutral,,,neutral
Level of News. That's why Indian news freedom index is so low.,India,level news indian news freedom index low,positive,,,positive
Need A Advice,India,need advice,neutral,,,neutral
Torras Ostand Q3 Air vs Torras  Ostand R Air,United States,torras ostand air vs torras ostand air,neutral,,,neutral
Iphone 17 pro max and induction speaker,United States,iphone pro max induction speaker,neutral,,,neutral
[USA-NJ] [H] iphone 17 pro max 256 blue [W] cash,United States,usa nj iphone pro max blue cash,neutral,,,neutral
iPhone 17 Pro Max | iOS26 Is Not Efficient At All  | Power Consumption Deep Dive,United States,iphone pro max ios efficient power consumption deep dive,positive,,,positive
Android choise,United States,android choise,neutral,,,neutral
iPhone 17 Pro Max Faulty Display,United States,iphone pro max faulty display,negative,,,negative
Iphone 17 Pro max battery,United States,iphone pro max battery,neutral,,,neutral
Gastariam cerca de 15 mil no iphone 17 pro max ?,United States,gastariam cerca de mil iphone pro max,neutral,,,neutral
"My relative (typical marwari) Earning 10 lac per month , but still using nokia keypad and when ask to them answer is ""kya karna hai""",United States,relative typical marwari earning lac per month still using nokia keypad ask answer kya karna hai,neutral,,,neutral
iphone 17 pro max shipping,United States,iphone pro max shipping,neutral,,,neutral
Xiaomi 17 Pro Max kada dolazi u Srbiju?,Serbia,xiaomi pro max kada dolazi srbiju,neutral,,,neutral
How does FNAC order system works?,Germany,fnac order system works,neutral,,,neutral
Upgraded to new iphone 17 pro max and activated it successfully last night. Then Visible reversed the activation this morning and re-activated my old phone?,United States,upgraded new iphone pro max activated successfully last night visible reversed activation morning re activated old phone,positive,,,positive
Is the new iphone worth it?,United States,new iphone worth,positive,,,positive
Has anyone compared the battery in iphone 17 pro max (U.S vs international version),United States,anyone compared battery iphone pro max vs international version,neutral,,,neutral
IPhone 17 Pro Max is a landmark device for Apple,United States,iphone pro max landmark device apple,neutral,,,positive
Anyone wanna buy a oneplus 13r for like 450?,United States,anyone wanna buy oneplus like,positive,,,positive
Iphone 17 Pro Max In-store pickup issue,United States,iphone pro max store pickup issue,neutral,,,neutral
Ghost Videos?,United States,ghost videos,negative,,,negative
Iphone 17 pro max battery draining too fast,United States,iphone pro max battery draining fast,positive,,,neutral
Game file now switching to new device,United States,game file switching new device,negative,,,neutral
Iphone 17,United States,iphone,neutral,,,neutral
Is my phonecase and screenprotector still arriving on this month?,United States,phonecase screenprotector still arriving month,neutral,,,neutral
Scan Box Pro and IPhone 17 Pro,United States,scan box pro iphone pro,neutral,,,neutral
Spigen vs RhinoShield Camera Protectors – Are They Worth It?,United States,spigen vs rhinoshield camera protectors worth,positive,,,positive
Can’t shuffle Nature/Cities (lock screen anymore),United States,can shuffle nature cities lock screen anymore,neutral,,,neutral
what cases are comparable to life proof?,United States,cases comparable life proof,neutral,,,neutral
i  bought iphone 17 pro max 2tb like speed,United States,bought iphone pro max tb like speed,positive,,,positive
Google Store return new phone after trade in completed.,United States,google store return new phone trade completed,positive,,,neutral
apple iphone 17 pro max restock,United States,apple iphone pro max restock,neutral,,,neutral
shipped within two days,United States,shipped within two days,neutral,,,neutral
Iphone 17 pro max,United States,iphone pro max,neutral,,,neutral
ESR Hydrid Magnetic Case iPhone 17 Pro Max REVIEW,United States,esr hydrid magnetic case iphone pro max review,neutral,,,neutral
Does Spectrum stock the IPhone 17 Pro Max in their stores?,United States,spectrum stock iphone pro max stores,neutral,,,neutral
Returning IPhone 17 pro max,United States,returning iphone pro max,neutral,,,neutral
Planning to buy the iphone 17 pro max (Deep blue) Should I be worried about the scratches or an ESR case would suffice?,United States,planning buy iphone pro max deep blue worried scratches esr case suffice,negative,,,negative
Camera cut out for Iphone17PM,United States,camera cut iphone pm,negative,,,negative
Planning to buy the iphone 17 pro max (Deep blue) Should I be worried about the scratches or an ESR case would suffice?,United States,planning buy iphone pro max deep blue worried scratches esr case suffice,negative,,,negative
Upgrading from Iphone 13 to Iphone 17 Pro Max - Worth it?,United States,upgrading iphone iphone pro max worth,positive,,,positive
Plan on buying IPhone 17 Pro Max,Philippines,plan buying iphone pro max,neutral,,,neutral
ATT Unlimited Premium -> USM Dark Star Premium - Any catch?,United States,att unlimited premium usm dark star premium catch,negative,,,neutral
I keep getting subbed to random channel I don't remember doing so.,United States,keep getting subbed random channel don remember,negative,,,neutral
My thoughts on my IPhone 17 Pro Max,United States,thoughts iphone pro max,neutral,,,neutral
ATT is so incompetent - Upgrade eligibility gone after canceling iphone order.,United States,att incompetent upgrade eligibility gone canceling iphone order,negative,,,negative
Transfer request canceled after the new phone delivered,United States,transfer request canceled new phone delivered,positive,,,neutral
"IPhone 17 Pro Max Cedar Breaks, Utah.",United States,iphone pro max cedar breaks utah,neutral,,,neutral
Any news on any new colors for the IPhone 17 Pro max?,United States,news new colors iphone pro max,positive,,,neutral
Confused between IPhone 17 pro max or 16 Pro max 😕,United States,confused iphone pro max pro max,negative,,,negative
How do i track my T-mobile order!!,United States,track mobile order,neutral,,,neutral
Financial advice.,United States,financial advice,neutral,,,neutral
Top Speaker Rattle Sound,United States,top speaker rattle sound,positive,,,positive
Iphone 17 Pro Max Vs Iphone 16 Pro Max,United States,iphone pro max vs iphone pro max,neutral,,,neutral
Internation arrival in karachi airport coming with new iphone,Pakistan,internation arrival karachi airport coming new iphone,positive,,,neutral
EU VER Iphone 17 Pro Max battery draining really fast,United States,eu ver iphone pro max battery draining really fast,positive,,,neutral
when is my phone coming?!?!?,United States,phone coming,neutral,,,neutral
EU Ver Iphone 17 Pro Max Battery draining fast,United States,eu ver iphone pro max battery draining fast,positive,,,neutral
S24 ultra or iPhone 17 or,United States,ultra iphone,neutral,,,neutral
iphone 17 pro max battery sucks. Wtf tim apple?,United States,iphone pro max battery sucks wtf tim apple,negative,,,negative
iPhone 17 Case,United States,iphone case,neutral,,,neutral
orange iphone 17 pro max!! (embuy electronics line),United States,orange iphone pro max embuy electronics line,neutral,,,neutral
"oooh it's been a while, but iPhone 17 is here!",United States,oooh iphone,neutral,,,neutral
18M rather than buying iphone 17 pro max I bought these,India,rather buying iphone pro max bought,neutral,,,neutral
Iphone 17 pro max issues,United States,iphone pro max issues,neutral,,,neutral
Iphone 17 pro max,United States,iphone pro max,neutral,,,neutral
Ghost 2.0 preorder,United States,ghost preorder,negative,,,negative
17 Pro Max - minimalist case but with buttons?,United States,pro max minimalist case buttons,neutral,,,neutral
I designed a camera dust cover for the iPhone 17 Pro – just a 13-minute print!,United States,designed camera dust cover iphone pro minute print,neutral,,,neutral
A20 Bluetooth Issues,United States,bluetooth issues,neutral,,,neutral
Selfie Log Video not working on IPhone 17 Pro Max,United States,selfie log video working iphone pro max,neutral,,,neutral
Selfie Log Video not working on IPhone 17 Pro Max,United States,selfie log video working iphone pro max,neutral,,,neutral
Wireless charger,United States,wireless charger,neutral,,,neutral
"Should i drop 1.65k on a dualtron spider max with 24ah showroom used, or buy a joyor t10 from aliexpress for 500-600 euros.",United States,drop dualtron spider max ah showroom used buy joyor aliexpress euros,negative,,,negative
MakerWorld website is down,United States,makerworld website,neutral,,,neutral
Ipad Pro m4 and iphone 17 pro max,United States,ipad pro iphone pro max,neutral,,,neutral
Capture button,United States,capture button,neutral,,,neutral
Iphone 17 upgrade / trade in on Magenta plans,United States,iphone upgrade trade magenta plans,neutral,,,neutral
Iphone 17 Pro Max sound issues,United States,iphone pro max sound issues,positive,,,neutral
Holy glaze by apple fanboys,United States,holy glaze apple fanboys,neutral,,,neutral
iPhone 17 Pro Max zdemoloval Samsung v testu výdrže. Výsledky vás překvapí,Spain,iphone pro max zdemoloval samsung testu dr sledky ekvap,neutral,,,neutral
Lens protector still needed after getting Torras Q3 Air case?,United States,lens protector still needed getting torras air case,neutral,,,neutral
Audio Speaker Issue,United States,audio speaker issue,neutral,,,neutral
Love the Ostand Q3 Air for the IPhone 17 Pro Max but..,United States,love ostand air iphone pro max,positive,,,positive
Can't connect to wifi,United States,can connect wifi,neutral,,,neutral
Can't connect to wifi,United States,can connect wifi,neutral,,,neutral
Getting iPhone 17 pro max. Case question.,United States,getting iphone pro max case question,neutral,,,neutral
Iphone 17 pro max 256 gb deep blue reservation jumber 213 havent changes from last week any idea how much it would take them to ship the device ?,United States,iphone pro max gb deep blue reservation jumber havent changes last week idea much take ship device,neutral,,,neutral
iphone 17 pro max audio,United States,iphone pro max audio,neutral,,,neutral
New phone order horrible experience,United States,new phone order horrible experience,negative,,,negative
Iphone 17 pro max unlocked,United States,iphone pro max unlocked,neutral,,,neutral
"No one cares, Mikfiltah.",United States,one cares mikfiltah,positive,,,positive
What’s taking so long!,United States,taking long,neutral,,,neutral
Apple intelligence does not download,United States,apple intelligence download,positive,,,positive
Iphone 17 pro max battery drain after restart.,United States,iphone pro max battery drain restart,neutral,,,neutral
Osrs crashing alot on new ios 26 or iphone 17pro?,United States,osrs crashing alot new ios iphone pro,positive,,,neutral
Iphone 17 Pro Pre Order at Power Mac onsite store,Philippines,iphone pro pre order power mac onsite store,neutral,,,neutral
iPhone 17 pro out of stock? When will more come?,United States,iphone pro stock will come,neutral,,,neutral
Unable to get expected GUDP speeds moving from iphone 13 Pro to iphone 17 pro.,United States,unable get expected gudp speeds moving iphone pro iphone pro,negative,,,neutral
"Iphone 17 pro battery concern, apple doesnt really have an answer",United States,iphone pro battery concern apple doesnt really answer,positive,,,neutral
Liquid glass UI working perfectly when navigation,United States,liquid glass ui working perfectly navigation,positive,,,positive
Silver Iphone 17 pro with Mous Limitless Stone Color,United States,silver iphone pro mous limitless stone color,neutral,,,neutral
Does anyone know what app this is?,United States,anyone know app,neutral,,,neutral
returning iphone 17 pro,United States,returning iphone pro,neutral,,,neutral
Speaker on iphone 17 pro?,United States,speaker iphone pro,neutral,,,neutral
Free Iphone 17 pro? do i still get credits if i upgrade to 18 next year?,United States,free iphone pro still get credits upgrade next year,positive,,,positive
Severe connectivity issue,United States,severe connectivity issue,negative,,,negative
IPHONE 17 PRO AT LOWEST PRICES IN INDIA 🇮🇳,India,iphone pro lowest prices india,negative,,,negative
Problemas no iPhone 17 Pro: novo design do flash está a arruinar as fotografias,Spain,problemas iphone pro novo design flash est arruinar fotografias,neutral,,,neutral
Have yet to receive a response from dbrand,United States,yet receive response dbrand,neutral,,,neutral
"Nese do blinit Iphone 17 Pro, ku do e blinit ne Tirane?",United States,nese blinit iphone pro ku blinit ne tirane,neutral,,,neutral
"Sunday Break [iphone 17 Pro, native app edits]",United States,sunday break iphone pro native app edits,neutral,,,neutral
Iphone 17 pro screen identical to base iphone 17?,United States,iphone pro screen identical base iphone,negative,,,neutral
Audio pause/unpause issue on locking screen,United States,audio pause unpause issue locking screen,neutral,,,neutral
Iphone 17 pro problem,United States,iphone pro problem,negative,,,negative
Bhai log iphone 17 pro offline kaha milega koi idea h kya ?,United States,bhai log iphone pro offline kaha milega koi idea kya,negative,,,negative
Iphone 17 Pro/PM changing colour under Sun. Orange 17 IPhone Pro Max turned Rose Gold,India,iphone pro pm changing colour sun orange iphone pro max turned rose gold,positive,,,neutral
Iphone 17,United States,iphone,neutral,,,neutral
Iphone 17 purchase using DCB Metal points,United States,iphone purchase using dcb metal points,neutral,,,neutral
Iphone 17 pro screen protector under $20,United States,iphone pro screen protector,neutral,,,neutral
Smiski Hippers in Iphone 17 Pro,United States,smiski hippers iphone pro,neutral,,,neutral
8:00 AM,United States,,neutral,,,neutral
Are y’all rocking a phone case for your iphone 17 pro?,United States,rocking phone case iphone pro,neutral,,,neutral
iPhone 17 Pro Screen Grainy?,United States,iphone pro screen grainy,neutral,,,neutral
UGREEN 45W charges slower than apple's 15-20W,United States,ugreen charges slower apple,negative,,,negative
PSA: Reception on IPhone 17 Pro Is Dramatically Improved Over 16 Pro Max,United States,psa reception iphone pro dramatically improved pro max,positive,,,positive
Plus 4 weeks ?,United States,plus weeks,neutral,,,neutral
Next Up Anytime Upgrade IPhone 17 pro,United States,next anytime upgrade iphone pro,neutral,,,neutral
Would putting a case on iphone 17 pro save it from damage bents and scratches? how does that affect thermal perfomance,United States,putting case iphone pro save damage bents scratches affect thermal perfomance,neutral,,,neutral
Looking for 17 Pro Case Recommendations,United States,looking pro case recommendations,neutral,,,neutral
iphone 17 pro stock?,United States,iphone pro stock,neutral,,,neutral
Anyone else noticing rubbish performance in apps? iphone 17 pro.,United States,anyone else noticing rubbish performance apps iphone pro,neutral,,,neutral
Iphone 17 Pro Cosmic Orange case recocmendations,United States,iphone pro cosmic orange case recocmendations,neutral,,,neutral
Iphone 17 Pro Cosmic Orange case recocmendations,United States,iphone pro cosmic orange case recocmendations,neutral,,,neutral
Dent after one drop with apple case.,United States,dent one drop apple case,negative,,,negative
Sec bank powermac installment,United States,sec bank powermac installment,negative,,,neutral
iphone 17 pro,United States,iphone pro,neutral,,,neutral
Iphone 17 pro pre order,Malaysia,iphone pro pre order,neutral,,,neutral
Torras Case,United States,torras case,neutral,,,neutral
IPhone 17 Pro Screen - small damage after 2 weeks,United States,iphone pro screen small damage weeks,negative,,,negative
Iphone 17 pro orange 256gb backordered,United States,iphone pro orange gb backordered,neutral,,,neutral
HELP! Notification Vibration issue,United States,help notification vibration issue,positive,,,positive
Iphone 17 pro battery update,United States,iphone pro battery update,neutral,,,neutral
Galileo iOS 26 compatability,United States,galileo ios compatability,neutral,,,neutral
Night mode in portrait,United States,night mode portrait,neutral,,,neutral
Slow loading speed?,United States,slow loading speed,negative,,,neutral
iphone 17pro power button sticky,United States,iphone pro power button sticky,neutral,,,neutral
First day with GR IV - my thoughts in the description,United States,first day gr iv thoughts description,positive,,,neutral
Moving to iPhone,United States,moving iphone,neutral,,,neutral
AW10 locked?,United States,aw locked,neutral,,,neutral
