text,start,duration,end,clean_text,tokens,word_count,sentiment,sentiment_num,entities,time_bin
"Last fall, AirPods Pro took this even
further with the world’s first end-to-end",208.438,5.706,214.14399999999998,"last fall, airpods pro took this even
further with the world’s first end-to-end","['last', 'airpods', 'pro', 'took', 'this', 'even', 'further', 'with', 'the', 'first']",10,POSITIVE,1,"[('last fall', 'DATE'), ('first', 'ORDINAL')]",120.0
hearing health experience.,214.177,2.202,216.379,hearing health experience.,"['hearing', 'health']",2,POSITIVE,1,[],120.0
"It’s extraordinary that the world’s
leading headphones can also make",216.413,4.304,220.717,"it’s extraordinary that the world’s
leading headphones can also make","['extraordinary', 'that', 'the', 'leading', 'headphones', 'can', 'also', 'make']",8,POSITIVE,1,[],120.0
"such a meaningful difference to
those facing hearing challenges.",220.717,4.671,225.388,"such a meaningful difference to
those facing hearing challenges.","['such', 'a', 'meaningful', 'difference', 'to', 'those', 'facing', 'hearing']",8,POSITIVE,1,[],120.0
"Today, we’re building on these innovations
and extending our leadership",225.589,4.371,229.96,"today, we’re building on these innovations
and extending our leadership","['building', 'on', 'these', 'innovations', 'and', 'extending', 'our', 'leadership']",8,POSITIVE,1,"[('today', 'DATE')]",120.0
"in world-class audio quality,",229.96,2.102,232.062,"in world-class audio quality,","['in', 'audio']",2,POSITIVE,1,[],120.0
"with the introduction
of the next-generation of AirPods Pro.",232.095,4.338,236.433,"with the introduction
of the next-generation of airpods pro.","['with', 'the', 'introduction', 'of', 'the', 'of', 'airpods']",7,POSITIVE,1,[],120.0
"♪ “BLUH BLUH BLUH” 
by _BY.ALEXANDER ♪",236.867,4.17,241.03699999999998,"♪ “bluh bluh bluh” 
by _by.alexander ♪","['bluh', 'by']",2,NEGATIVE,-1,"[('♪', 'ORG')]",120.0
"With breakthrough audio
performance and entirely new capabilities,",261.291,4.571,265.862,"with breakthrough audio
performance and entirely new capabilities,","['with', 'breakthrough', 'audio', 'performance', 'and', 'entirely', 'new']",7,POSITIVE,1,[],240.0
"I think AirPods Pro 3
are truly incredible.",265.929,3.937,269.866,"i think airpods pro 3
are truly incredible.","['i', 'think', 'airpods', 'pro', 'are', 'truly']",6,POSITIVE,1,"[('3', 'CARDINAL')]",240.0
"To tell you more, here’s Kate.",270.133,2.102,272.23499999999996,"to tell you more, here’s kate.","['to', 'tell', 'you']",3,POSITIVE,1,[],240.0
♪ “Cisco Bay” by Loaded Honey ♪,272.235,4.338,276.57300000000004,♪ “cisco bay” by loaded honey ♪,"['by', 'loaded', 'honey']",3,NEGATIVE,-1,"[('♪', 'PERSON')]",240.0
"At the heart of
AirPods is outstanding audio.",301.131,3.003,304.13399999999996,"at the heart of
airpods is outstanding audio.","['at', 'the', 'heart', 'of', 'airpods', 'is', 'outstanding']",7,POSITIVE,1,[],240.0
"This year, we pushed
ourselves even further",304.267,2.503,306.77,"this year, we pushed
ourselves even further","['this', 'we', 'pushed', 'ourselves', 'even', 'further']",6,POSITIVE,1,"[('this year', 'DATE')]",240.0
and created something truly special.,306.803,2.803,309.606,and created something truly special.,"['and', 'created', 'something', 'truly']",4,POSITIVE,1,[],240.0
"AirPods Pro 3 deliver a breathtaking
spatial listening experience.",309.673,4.437,314.11,"airpods pro 3 deliver a breathtaking
spatial listening experience.","['airpods', 'pro', 'deliver', 'a', 'breathtaking', 'spatial', 'listening']",7,POSITIVE,1,"[('3', 'CARDINAL')]",240.0
"We designed a custom, multi-port acoustic
architecture, which precisely controls",314.477,4.872,319.349,"we designed a custom, multi-port acoustic
architecture, which precisely controls","['we', 'designed', 'a', 'acoustic', 'which', 'precisely', 'controls']",7,POSITIVE,1,[],240.0
"the airflow that carries
sound into the ear.",319.382,3.137,322.519,"the airflow that carries
sound into the ear.","['the', 'airflow', 'that', 'carries', 'sound', 'into', 'the']",7,POSITIVE,1,[],240.0
This transforms the bass response.,322.719,2.503,325.222,this transforms the bass response.,"['this', 'transforms', 'the', 'bass']",4,POSITIVE,1,[],240.0
"It widens the soundstage so you hear
every instrument and brings vocals",325.255,4.972,330.227,"it widens the soundstage so you hear
every instrument and brings vocals","['it', 'widens', 'the', 'soundstage', 'so', 'you', 'hear', 'every', 'instrument', 'and', 'brings', 'vocals']",12,POSITIVE,1,[],240.0
"into stunning focus
across music, shows, and calls.",330.26,4.738,334.998,"into stunning focus
across music, shows, and calls.","['into', 'stunning', 'focus', 'across', 'and']",5,POSITIVE,1,[],240.0
"And it gets even better with
phenomenal Active Noise Cancellation.",335.232,4.471,339.70300000000003,"and it gets even better with
phenomenal active noise cancellation.","['and', 'it', 'gets', 'even', 'better', 'with', 'phenomenal', 'active', 'noise']",9,NEGATIVE,-1,[],240.0
"Ultra low-noise microphones
and advanced computational audio",339.936,4.405,344.34099999999995,"ultra low-noise microphones
and advanced computational audio","['ultra', 'microphones', 'and', 'advanced', 'computational', 'audio']",6,POSITIVE,1,[],240.0
"combine with new foam-infused ear tips
for even greater noise isolation.",344.374,4.705,349.079,"combine with new foam-infused ear tips
for even greater noise isolation.","['combine', 'with', 'new', 'ear', 'tips', 'for', 'even', 'greater', 'noise']",9,POSITIVE,1,[],240.0
"This significantly improves performance,
delivering twice the ANC compared",349.379,4.438,353.817,"this significantly improves performance,
delivering twice the anc compared","['this', 'significantly', 'improves', 'delivering', 'twice', 'the', 'anc', 'compared']",8,POSITIVE,1,"[('anc', 'ORG')]",240.0
"to the previous generation,
which were already amazing!",353.85,3.837,357.687,"to the previous generation,
which were already amazing!","['to', 'the', 'previous', 'which', 'were', 'already']",6,POSITIVE,1,[],240.0
"These are by far,
my favorite AirPods ever.",357.954,3.504,361.458,"these are by far,
my favorite airpods ever.","['these', 'are', 'by', 'my', 'favorite', 'airpods']",6,POSITIVE,1,[],240.0
"For those with the original AirPods Pro
the difference is night and day because",361.858,4.805,366.663,"for those with the original airpods pro
the difference is night and day because","['for', 'those', 'with', 'the', 'original', 'airpods', 'pro', 'the', 'difference', 'is', 'night', 'and', 'day', 'because']",14,NEGATIVE,-1,[],360.0
this ANC is four times more effective.,366.663,3.77,370.433,this anc is four times more effective.,"['this', 'anc', 'is', 'four', 'times', 'more']",6,POSITIVE,1,"[('anc', 'ORG'), ('four', 'CARDINAL')]",360.0
"AirPods Pro 3 are a must-have upgrade,
with over-the-ear headphone performance",371.034,5.672,376.706,"airpods pro 3 are a must-have upgrade,
with over-the-ear headphone performance","['airpods', 'pro', 'are', 'a', 'with', 'headphone', 'performance']",7,POSITIVE,1,"[('3', 'CARDINAL')]",360.0
"in a pocket-sized design,",376.74,2.068,378.808,"in a pocket-sized design,","['in', 'a']",2,NEGATIVE,-1,[],360.0
"that removes even more background
noise from your daily commute.",378.842,3.37,382.212,"that removes even more background
noise from your daily commute.","['that', 'removes', 'even', 'more', 'background', 'noise', 'from', 'your', 'daily']",9,NEGATIVE,-1,"[('daily', 'DATE')]",360.0
"So, no matter what
headphones you’ve used before,",382.479,2.469,384.948,"so, no matter what
headphones you’ve used before,","['no', 'matter', 'what', 'headphones', 'used']",5,NEGATIVE,-1,[],360.0
"with AirPods Pro 3 you will have
the world’s best Active Noise Cancellation",384.981,4.738,389.719,"with airpods pro 3 you will have
the world’s best active noise cancellation","['with', 'airpods', 'pro', 'you', 'will', 'have', 'the', 'best', 'active', 'noise', 'cancellation']",11,POSITIVE,1,"[('3', 'CARDINAL')]",360.0
of any in-ear wireless headphones.,389.753,3.003,392.756,of any in-ear wireless headphones.,"['of', 'any', 'wireless']",3,NEGATIVE,-1,[],360.0
"Transparency enables you to hear your
surroundings and now, your own voice",393.523,5.372,398.89500000000004,"transparency enables you to hear your
surroundings and now, your own voice","['transparency', 'enables', 'you', 'to', 'hear', 'your', 'surroundings', 'and', 'your', 'own', 'voice']",11,POSITIVE,1,[],360.0
"and people speaking to you will
sound more natural than ever.",398.929,3.87,402.799,"and people speaking to you will
sound more natural than ever.","['and', 'people', 'speaking', 'to', 'you', 'will', 'sound', 'more', 'natural', 'than']",10,POSITIVE,1,[],360.0
"And to help connect with those near you,
we’re bringing the magic of AirPods",403.767,4.337,408.104,"and to help connect with those near you,
we’re bringing the magic of airpods","['and', 'to', 'help', 'connect', 'with', 'those', 'near', 'bringing', 'the', 'magic', 'of', 'airpods']",12,POSITIVE,1,[],360.0
"to the way you communicate
across languages",408.138,2.969,411.10699999999997,"to the way you communicate
across languages","['to', 'the', 'way', 'you', 'communicate', 'across', 'languages']",7,POSITIVE,1,[],360.0
"with Live Translation,
powered by Apple Intelligence!",411.141,3.737,414.87800000000004,"with live translation,
powered by apple intelligence!","['with', 'live', 'powered', 'by', 'apple']",5,POSITIVE,1,[],360.0
"Now, when you are together with someone
who speaks a different language,",414.911,4.538,419.449,"now, when you are together with someone
who speaks a different language,","['when', 'you', 'are', 'together', 'with', 'someone', 'who', 'speaks', 'a', 'different']",10,POSITIVE,1,[],360.0
"like exploring a market abroad,
AirPods Pro will help you understand them",419.482,4.939,424.42100000000005,"like exploring a market abroad,
airpods pro will help you understand them","['like', 'exploring', 'a', 'market', 'airpods', 'pro', 'will', 'help', 'you', 'understand', 'them']",11,POSITIVE,1,[],360.0
in your preferred language.,424.454,1.835,426.289,in your preferred language.,"['in', 'your', 'preferred']",3,POSITIVE,1,[],360.0
"Using a new, simple gesture,
Live Translation begins",426.756,3.571,430.327,"using a new, simple gesture,
live translation begins","['using', 'a', 'simple', 'live', 'translation', 'begins']",6,POSITIVE,1,[],360.0
[CHIME],430.327,1.568,431.895,[chime],[],0,POSITIVE,1,[],360.0
"[SIRI]
“Translating Spanish”",431.895,1.401,433.296,"[siri]
“translating spanish”",[],0,POSITIVE,1,"[('spanish', 'NORP')]",360.0
"while ANC lowers the volume
of the person speaking",433.296,3.437,436.733,"while anc lowers the volume
of the person speaking","['while', 'anc', 'lowers', 'the', 'volume', 'of', 'the', 'person', 'speaking']",9,NEGATIVE,-1,"[('anc', 'ORG')]",360.0
"so it’s easier to focus
on the translation.",436.766,2.803,439.569,"so it’s easier to focus
on the translation.","['so', 'easier', 'to', 'focus', 'on', 'the']",6,NEGATIVE,-1,[],360.0
"[IN SPANISH]
- Hello, welcome.",439.569,1.034,440.603,"[in spanish]
- hello, welcome.",[],0,POSITIVE,1,"[('spanish', 'NORP')]",360.0
- Hi!,440.637,1.001,441.638,- hi!,[],0,POSITIVE,1,[],360.0
[SPEAKING IN SPANISH],441.871,1.435,443.306,[speaking in spanish],['in'],1,POSITIVE,1,"[('spanish', 'NORP')]",360.0
"- Hello, welcome.",443.306,1.101,444.407,"- hello, welcome.",[],0,POSITIVE,1,[],360.0
Today all the red carnations are 50% off.,444.441,3.403,447.844,today all the red carnations are 50% off.,"['today', 'all', 'the', 'red', 'carnations', 'are']",6,NEGATIVE,-1,"[('today', 'DATE'), ('50%', 'PERCENT')]",360.0
"And, it doesn’t just translate
individual words.",447.944,3.237,451.18100000000004,"and, it doesn’t just translate
individual words.","['it', 'just', 'translate', 'individual']",4,NEGATIVE,-1,[],360.0
"The meaning of each phrase
is translated for you.",451.214,3.937,455.151,"the meaning of each phrase
is translated for you.","['the', 'meaning', 'of', 'each', 'phrase', 'is', 'translated', 'for']",8,POSITIVE,1,[],360.0
"When you need to
talk, just speak naturally.",455.352,2.769,458.121,"when you need to
talk, just speak naturally.","['when', 'you', 'need', 'to', 'just', 'speak']",6,POSITIVE,1,[],360.0
"- I’d love to take some of these
to my sister for her birthday.",458.288,2.803,461.091,"- i’d love to take some of these
to my sister for her birthday.","['love', 'to', 'take', 'some', 'of', 'these', 'to', 'my', 'sister', 'for', 'her']",11,POSITIVE,1,[],360.0
I'll buy eight please.,461.124,1.668,462.79200000000003,i'll buy eight please.,"['buy', 'eight']",2,POSITIVE,1,"[('eight', 'CARDINAL')]",360.0
"Your iPhone displays
your words in their language,",462.926,3.07,465.996,"your iphone displays
your words in their language,","['your', 'iphone', 'displays', 'your', 'words', 'in', 'their']",7,POSITIVE,1,[],360.0
and can even read them out loud if needed.,466.029,2.369,468.398,and can even read them out loud if needed.,"['and', 'can', 'even', 'read', 'them', 'out', 'loud', 'if']",8,NEGATIVE,-1,[],360.0
"[IN SPANISH]
Okay!",468.631,1.235,469.866,"[in spanish]
okay!",[],0,POSITIVE,1,"[('spanish', 'NORP')]",360.0
"Live Translation is even more useful
when both people are wearing AirPods Pro.",470.133,5.339,475.472,"live translation is even more useful
when both people are wearing airpods pro.","['live', 'translation', 'is', 'even', 'more', 'useful', 'when', 'both', 'people', 'are', 'wearing', 'airpods']",12,POSITIVE,1,[],360.0
"- I agree, yeah.",476.773,1.301,478.074,"- i agree, yeah.",['i'],1,POSITIVE,1,[],360.0
"[IN PORTUGUESE]
I agree, yeah.",479.042,1.868,480.90999999999997,"[in portuguese]
i agree, yeah.",['i'],1,POSITIVE,1,"[('portuguese', 'NORP')]",360.0
[TRANSLATING IN PORTUGUESE],482.012,4.304,486.316,[translating in portuguese],['in'],1,POSITIVE,1,"[('portuguese', 'NORP')]",480.0
[RESPONDING IN PORTUGUESE],486.783,2.369,489.15200000000004,[responding in portuguese],['in'],1,POSITIVE,1,"[('portuguese', 'NORP')]",480.0
"[TRANSLATING TO ENGLISH]
- Definitely, the client will love that.",489.185,2.77,491.955,"[translating to english]
- definitely, the client will love that.","['to', 'the', 'client', 'will', 'love']",5,POSITIVE,1,"[('english', 'LANGUAGE')]",480.0
"I'll let the strategy team know
to prepare that immediately.",492.455,3.804,496.25899999999996,"i'll let the strategy team know
to prepare that immediately.","['let', 'the', 'strategy', 'team', 'know', 'to', 'prepare', 'that']",8,POSITIVE,1,[],480.0
"This incredible capability is enabled by
advanced computational audio on AirPods,",496.926,5.306,502.23199999999997,"this incredible capability is enabled by
advanced computational audio on airpods,","['this', 'incredible', 'capability', 'is', 'enabled', 'by', 'advanced', 'computational', 'audio', 'on']",10,POSITIVE,1,[],480.0
"combined with Apple Intelligence
models running on iPhone.",502.332,3.77,506.102,"combined with apple intelligence
models running on iphone.","['combined', 'with', 'apple', 'intelligence', 'models', 'running', 'on']",7,POSITIVE,1,[],480.0
"Along with incredible personal audio,
we’re also improving",506.236,3.403,509.639,"along with incredible personal audio,
we’re also improving","['along', 'with', 'incredible', 'personal', 'also', 'improving']",6,POSITIVE,1,[],480.0
how AirPods Pro fit in your ears.,509.672,2.837,512.509,how airpods pro fit in your ears.,"['how', 'airpods', 'pro', 'fit', 'in', 'your']",6,POSITIVE,1,[],480.0
"Because people’s ears are completely
different shapes and sizes, we analyzed",512.542,4.538,517.08,"because people’s ears are completely
different shapes and sizes, we analyzed","['because', 'ears', 'are', 'completely', 'different', 'shapes', 'and', 'we', 'analyzed']",9,POSITIVE,1,[],480.0
"more than ten thousand 3D ear scans along
with over one hundred thousand hours",517.08,4.938,522.018,"more than ten thousand 3d ear scans along
with over one hundred thousand hours","['more', 'than', 'ten', 'thousand', 'ear', 'scans', 'along', 'with', 'over', 'one', 'hundred', 'thousand', 'hours']",13,NEGATIVE,-1,"[('more than', 'PERCENT')]",480.0
"of user research,
to optimize the new AirPods Pro.",522.052,4.07,526.1220000000001,"of user research,
to optimize the new airpods pro.","['of', 'user', 'to', 'optimize', 'the', 'new', 'airpods']",7,POSITIVE,1,[],480.0
"To fit even more people,
we made each AirPod smaller.",526.156,4.004,530.16,"to fit even more people,
we made each airpod smaller.","['to', 'fit', 'even', 'more', 'we', 'made', 'each', 'airpod']",8,NEGATIVE,-1,[],480.0
"And to make them fit more securely
in your ear, we shaped the design",530.427,4.037,534.464,"and to make them fit more securely
in your ear, we shaped the design","['and', 'to', 'make', 'them', 'fit', 'more', 'securely', 'in', 'your', 'we', 'shaped', 'the', 'design']",13,POSITIVE,1,[],480.0
"to match the natural
geometry of the ear canal.",534.497,2.903,537.4,"to match the natural
geometry of the ear canal.","['to', 'match', 'the', 'natural', 'geometry', 'of', 'the', 'ear']",8,POSITIVE,1,[],480.0
"With entirely new ear tips,
now in five sizes,",537.634,3.57,541.2040000000001,"with entirely new ear tips,
now in five sizes,","['with', 'entirely', 'new', 'ear', 'now', 'in', 'five']",7,NEGATIVE,-1,"[('five', 'CARDINAL')]",480.0
"all together these are the most stable
and best-fitting AirPods ever,",541.237,4.805,546.0419999999999,"all together these are the most stable
and best-fitting airpods ever,","['all', 'together', 'these', 'are', 'the', 'most', 'stable', 'and', 'airpods']",9,POSITIVE,1,[],480.0
"engineered to stay in your ears even
during the most intense workouts.",546.076,4.571,550.647,"engineered to stay in your ears even
during the most intense workouts.","['engineered', 'to', 'stay', 'in', 'your', 'ears', 'even', 'during', 'the', 'most', 'intense']",11,POSITIVE,1,[],480.0
"And, they’re also more durable
with IP57 sweat and water resistance,",551.047,5.806,556.8530000000001,"and, they’re also more durable
with ip57 sweat and water resistance,","['also', 'more', 'durable', 'with', 'sweat', 'and', 'water']",7,POSITIVE,1,"[('ip57', 'PRODUCT')]",480.0
a first for any AirPods.,556.886,2.436,559.322,a first for any airpods.,"['a', 'first', 'for', 'any']",4,POSITIVE,1,"[('first', 'ORDINAL')]",480.0
"So you can feel confident during
the sweatiest sessions in the gym",559.389,4.004,563.393,"so you can feel confident during
the sweatiest sessions in the gym","['so', 'you', 'can', 'feel', 'confident', 'during', 'the', 'sweatiest', 'sessions', 'in', 'the', 'gym']",12,POSITIVE,1,[],480.0
"or even if you find yourself
running in a downpour.",563.393,3.537,566.9300000000001,"or even if you find yourself
running in a downpour.","['or', 'even', 'if', 'you', 'find', 'yourself', 'running', 'in', 'a']",9,NEGATIVE,-1,[],480.0
"These updates are so important for our
users who love listening to music",567.464,4.671,572.1350000000001,"these updates are so important for our
users who love listening to music","['these', 'updates', 'are', 'so', 'important', 'for', 'our', 'users', 'who', 'love', 'listening', 'to', 'music']",13,POSITIVE,1,[],480.0
when exercising with AirPods Pro.,572.168,2.736,574.904,when exercising with airpods pro.,"['when', 'exercising', 'with', 'airpods']",4,POSITIVE,1,[],480.0
"To tell you about how we’re taking
the fitness experience even further,",574.938,4.137,579.0749999999999,"to tell you about how we’re taking
the fitness experience even further,","['to', 'tell', 'you', 'about', 'how', 'taking', 'the', 'fitness', 'experience', 'even']",10,POSITIVE,1,[],480.0
here’s Julz.,579.109,1.067,580.176,here’s julz.,[],0,NEGATIVE,-1,[],480.0
♪ Upbeat music ♪,580.176,2.903,583.0790000000001,♪ upbeat music ♪,"['upbeat', 'music']",2,POSITIVE,1,"[('♪', 'PERSON')]",480.0
"More people work out
with AirPods Pro",584.08,2.469,586.5490000000001,"more people work out
with airpods pro","['more', 'people', 'work', 'out', 'with', 'airpods', 'pro']",7,NEGATIVE,-1,[],480.0
"than any other headphones in the world,",586.583,2.435,589.0179999999999,"than any other headphones in the world,","['than', 'any', 'other', 'headphones', 'in', 'the']",6,POSITIVE,1,[],480.0
"and now the amazing audio quality,
a more secure in-ear design,",589.018,4.205,593.2230000000001,"and now the amazing audio quality,
a more secure in-ear design,","['and', 'now', 'the', 'amazing', 'audio', 'a', 'more', 'secure']",8,POSITIVE,1,[],480.0
"and enhanced durability
make it even better.",593.256,3.103,596.3589999999999,"and enhanced durability
make it even better.","['and', 'enhanced', 'durability', 'make', 'it', 'even']",6,POSITIVE,1,[],480.0
"We’re also really excited
to add heart rate sensing",596.793,3.47,600.263,"we’re also really excited
to add heart rate sensing","['also', 'really', 'excited', 'to', 'add', 'heart', 'rate', 'sensing']",8,POSITIVE,1,[],480.0
during workouts with AirPods Pro 3.,600.296,2.937,603.2330000000001,during workouts with airpods pro 3.,"['during', 'workouts', 'with', 'airpods', 'pro']",5,POSITIVE,1,"[('3', 'CARDINAL')]",600.0
