post,clean_post,vader_sentiment,textblob_sentiment,label,label_num
ATT is so incompetent - Upgrade eligibility gone after canceling iphone order.,att incompetent upgrade eligibility gone canceling iphone order,negative,negative,negative,0
Transfer request canceled after the new phone delivered,transfer request canceled new phone delivered,neutral,positive,positive,1
Any news on any new colors for the IPhone 17 Pro max?,news new color iphone pro max,neutral,positive,positive,1
Confused between IPhone 17 pro max or 16 Pro max 😕,confused iphone pro max pro max,negative,negative,negative,0
Top Speaker Rattle Sound,top speaker rattle sound,positive,positive,positive,1
Internation arrival in karachi airport coming with new iphone,internation arrival karachi airport coming new iphone,neutral,positive,positive,1
EU VER Iphone 17 Pro Max battery draining really fast,eu ver iphone pro max battery draining really fast,neutral,positive,positive,1
EU Ver Iphone 17 Pro Max Battery draining fast,eu ver iphone pro max battery draining fast,neutral,positive,positive,1
iphone 17 pro max battery sucks. Wtf tim apple?,iphone pro max battery suck wtf tim apple,negative,negative,negative,0
Iphone 17 Pro Max sound issues,iphone pro max sound issue,neutral,positive,positive,1
Love the Ostand Q3 Air for the IPhone 17 Pro Max but..,love ostand q air iphone pro max,positive,positive,positive,1
Iphone 17 pro max 256 gb deep blue reservation jumber 213 havent changes from last week any idea how much it would take them to ship the device ?,iphone pro max gb deep blue reservation jumber havent change last week idea much would take ship device,neutral,positive,positive,1
New phone order horrible experience,new phone order horrible experience,negative,negative,negative,0
What’s taking so long!,whats taking long,neutral,negative,negative,0
Osrs crashing alot on new ios 26 or iphone 17pro?,osrs crashing alot new io iphone pro,neutral,positive,positive,1
Unable to get expected GUDP speeds moving from iphone 13 Pro to iphone 17 pro.,unable get expected gudp speed moving iphone pro iphone pro,neutral,negative,negative,0
"Iphone 17 pro battery concern, apple doesnt really have an answer",iphone pro battery concern apple doesnt really answer,neutral,positive,positive,1
Liquid glass UI working perfectly when navigation,liquid glass ui working perfectly navigation,positive,positive,positive,1
Free Iphone 17 pro? do i still get credits if i upgrade to 18 next year?,free iphone pro still get credit upgrade next year,positive,positive,positive,1
Iphone 17 pro screen identical to base iphone 17?,iphone pro screen identical base iphone,neutral,negative,negative,0
Iphone 17 Pro/PM changing colour under Sun. Orange 17 IPhone Pro Max turned Rose Gold,iphone propm changing colour sun orange iphone pro max turned rose gold,neutral,positive,positive,1
Sec bank powermac installment,sec bank powermac installment,neutral,negative,negative,0
IPhone 17 Pro Screen - small damage after 2 weeks,iphone pro screen small damage week,negative,negative,negative,0
Slow loading speed?,slow loading speed,neutral,negative,negative,0
First day with GR IV - my thoughts in the description,first day gr iv thought description,neutral,positive,positive,1
"Got this ""25W"" 3 in 1 charging stand by Anker with display. Charges iphone 17 pro at full 25W magsafe wireless",got w charging stand anker display charge iphone pro full w magsafe wireless,neutral,positive,positive,1
Apple Pre Order first timer,apple pre order first timer,neutral,positive,positive,1
what is the best way to switch all data and esims on two iphones?,best way switch data esims two iphones,positive,positive,positive,1
can i trade in my old phone after i pick up my new one?,trade old phone pick new one,neutral,positive,positive,1
Soft rattling sound by cameras???,soft rattling sound camera,neutral,positive,positive,1
I Got my Brand New IPhone 17 Pro for 74k Yen,got brand new iphone pro k yen,neutral,positive,positive,1
What Iphone would be best,iphone would best,positive,positive,positive,1
Trouble finding a case for my silver 17 Pro,trouble finding case silver pro,negative,negative,negative,0
Trouble finding a case for my silver 17 Pro,trouble finding case silver pro,negative,negative,negative,0
slow motion still not fixed on Iphone 17 Pro and iOS26,slow motion still fixed iphone pro io,neutral,negative,negative,0
"Got scammed on OLX, what are my legal options?",got scammed olx legal option,positive,positive,positive,1
I need help with what screen protector to get for my new Iphone 17 Pro,need help screen protector get new iphone pro,positive,positive,positive,1
"Robots: What Skin Are You Using On Your Website Page For The iPhone 17 Pro and, most importantly, is it Grippy?",robot skin using website page iphone pro importantly grippy,positive,positive,positive,1
Iphone 17 Pro $1100 apple watch $500 and ipad $500 over 36 months w trade in deal active via verizon site,iphone pro apple watch ipad month w trade deal active via verizon site,positive,negative,negative,0
"New IPhone 17 Pro has been downloading Intelligence features for ever, how can this be fixed?",new iphone pro downloading intelligence feature ever fixed,positive,positive,positive,1
Real life battery life of iphone 17 pro BUT with SIM card?,real life battery life iphone pro sim card,neutral,positive,positive,1
Message failed to send - Time sensitive ? iOS 26.0.1 - iphone 17 pro,message failed send time sensitive io iphone pro,negative,negative,negative,0
"i’m extremely uneducated on esim, can i swap esims from another phone?",im extremely uneducated esim swap esims another phone,neutral,negative,negative,0
iphone 17 pro display pixel frames clearly visible,iphone pro display pixel frame clearly visible,positive,positive,positive,1
I can not hear the difference between my brand new Beyerdynamic DT 1990 Pro MK2 and my Apple Airpods 4,hear difference brand new beyerdynamic dt pro mk apple airpods,neutral,positive,positive,1
Iphone 17 pro slow,iphone pro slow,neutral,negative,negative,0
Grey sunday in Copenhagen,grey sunday copenhagen,positive,negative,negative,0
Does Belkin screen protector for Iphone 16 Pro fit Iphone 17 pro?,belkin screen protector iphone pro fit iphone pro,positive,positive,positive,1
Any means necessary to buy the 17. Kidney + Eye = 17 Pro,mean necessary buy kidney eye pro,neutral,negative,negative,0
iPhone 17 Pro: microphones poor for live music recording! Watch out!,iphone pro microphone poor live music recording watch,negative,negative,negative,0
One of the first few photos with IPhone 17 Pro,one first photo iphone pro,neutral,positive,positive,1
Iphone 17 base or Iphone 16 pro,iphone base iphone pro,neutral,negative,negative,0
How to reinstall Games App?,reinstall game app,neutral,negative,negative,0
Games App help,game app help,positive,negative,negative,0
Apple Games App Uninstalled,apple game app uninstalled,neutral,negative,negative,0
Selling Covered Calls is for Suckers.,selling covered call sucker,negative,negative,negative,0
"For iphone 17 pros/air, apple direct promo and tmobile trade in promo are same?",iphone prosair apple direct promo tmobile trade promo,neutral,positive,positive,1
Whys iphone 17 not available at any store/authorised resellers?,why iphone available storeauthorised resellers,neutral,positive,positive,1
"Mods, please do a superthread for iphone 17 pre-orders",mod please superthread iphone preorders,positive,positive,positive,1
Can someone explain to me whats wrong with my mom? I’m willing to do anything to fix it.,someone explain whats wrong mom im willing anything fix,negative,negative,negative,0
Applecare is soo confusing,applecare soo confusing,negative,negative,negative,0
"Hi Tech_Philippines. I'm posting this using my very mid Samsung A26 5G phone. Just for comparison, how would IPhone 17 compare to the type of mid-range phone that I have, generally? I'm no techie, so i would appreciate your keeping things simple for me thank you community",hi techphilippines im posting using mid samsung g phone comparison would iphone compare type midrange phone generally im techie would appreciate keeping thing simple thank community,positive,positive,positive,1
Confused between s25 base and iphone 17 base,confused base iphone base,negative,negative,negative,0
Iphone 17 getting too much storage (IOS 26.0.1),iphone getting much storage io,neutral,positive,positive,1
Can't backup icloud to iphone 17 because previous phone was on beta version 26.1,cant backup icloud iphone previous phone beta version,neutral,negative,negative,0
Coming from Iphone13 base,coming iphone base,neutral,negative,negative,0
Apple morgen long 🍏,apple morgen long,neutral,negative,negative,0
How big is the battery life difference between the iPhone 17 and 17 Pro (not Max)? Is the ~$300 extra worth it?,big battery life difference iphone pro max extra worth,positive,positive,positive,1
Saan pinaka okay kumuha ng iPhone 17?,saan pinaka okay kumuha ng iphone,positive,positive,positive,1
10 BEAUTIFUL WALLPAPERS FOR IPHONE 17 IOS 26,beautiful wallpaper iphone io,positive,positive,positive,1
Is iphone 17 available without preorder in your country?,iphone available without preorder country,neutral,positive,positive,1
I ordered iphone 17 from Flipkart on September 30 and it's only going to arrive on 10th October. I stay in Mumbai and the retailer is in new delhi. Is this a serious problem?,ordered iphone flipkart september going arrive th october stay mumbai retailer new delhi serious problem,negative,negative,negative,0
I am sorry I jumped Ship to Apple !! I wish I didn't,sorry jumped ship apple wish didnt,positive,negative,negative,0
Shortcut not working due to some environment issue,shortcut working due environment issue,neutral,negative,negative,0
"Got my first iphone ever , iphone 17",got first iphone ever iphone,neutral,positive,positive,1
What am I missing here ?,missing,negative,negative,negative,0
Some random Iphone 17 pics,random iphone pic,neutral,negative,negative,0
Help me decide between s24 ultra and iphone 17 base,help decide ultra iphone base,positive,negative,negative,0
Iphones at the best price in Kochi,iphones best price kochi,positive,positive,positive,1
S25 vs S25+ vs Iphone 17 base. Which one should I go for?,v v iphone base one go,neutral,negative,negative,0
Help me decide between s24 ultra and iphone 17 base,help decide ultra iphone base,positive,negative,negative,0
Not available for pickup in HongKong,available pickup hongkong,neutral,positive,positive,1
Why are y’all divas over chin strap hard hats.,yall diva chin strap hard hat,negative,negative,negative,0
Best way to clean the IPhone 17 cameras?,best way clean iphone camera,positive,positive,positive,1
Top deals on Refurbished iphones on BestBuy now,top deal refurbished iphones bestbuy,positive,positive,positive,1
good strong clear case for base iphone 17?,good strong clear case base iphone,positive,positive,positive,1
On the Dutch Amazon I see an ez fit “pro” screen protector. What’s the difference with the regular iPhone 17 screen protector? Is the pro ez fit worth it for a regular iPhone 17?,dutch amazon see ez fit pro screen protector whats difference regular iphone screen protector pro ez fit worth regular iphone,positive,positive,positive,1
New Customer!,new customer,neutral,positive,positive,1
Is the IPhone 17 with it??? I have a iPhone 11 and I wanted to upgrade it and get a new phone since I’ve had it for so long but I wasn’t sure if iPhone 17 was worth the trade it or if a 14 is better since it’s not too old but not to new either kinda in the middle??,iphone iphone wanted upgrade get new phone since ive long wasnt sure iphone worth trade better since old new either kinda middle,positive,positive,positive,1
Is X200 FE worth for long term,x fe worth long term,positive,positive,positive,1
Testing new phone,testing new phone,neutral,positive,positive,1
"iPhone 17 pro max moon shot, just zoom in and turn down brightness by sliding down to the right of the center box.",iphone pro max moon shot zoom turn brightness sliding right center box,positive,positive,positive,1
"17PM, YouTube crashing out and other weird issues what to do?",pm youtube crashing weird issue,negative,negative,negative,0
iPhone 17 Pro Max battery draining faster than expected — is this normal?,iphone pro max battery draining faster expected normal,neutral,positive,positive,1
iPhone 17 Pro Max vs iPhone 16 Pro Max - Which Is Best? | zollotech,iphone pro max v iphone pro max best zollotech,positive,positive,positive,1
iPhone 17 Pro Max took a pretty cool moon pic tonight!,iphone pro max took pretty cool moon pic tonight,positive,positive,positive,1
Which one do you like best?,one like best,positive,positive,positive,1
"Finally due for an upgrade. Should I get iPhone 17 ProMax, Galaxy s25 Ultra or wait for the s26?!",finally due upgrade get iphone promax galaxy ultra wait,neutral,negative,negative,0
iPhone 17 pro max bad matrial 😩 dropped 16  titanium better  drop many time case same this,iphone pro max bad matrial dropped titanium better drop many time case,negative,positive,positive,1
iPhone 17 Pro Max: First Time Moment Buyer and Beginner,iphone pro max first time moment buyer beginner,neutral,positive,positive,1
So what case looks better on the Cosmic Orange 17 Pro Max?,case look better cosmic orange pro max,positive,positive,positive,1
iPhone 17 Pro Max. Cosmic Orange with a black translucent case.  I like how the colors contrast,iphone pro max cosmic orange black translucent case like color contrast,positive,negative,negative,0
Full moon (shot using iPhone 17 pro max),full moon shot using iphone pro max,neutral,positive,positive,1
Full moon (shot using iPhone 17 pro max),full moon shot using iphone pro max,neutral,positive,positive,1
iPhone 17 Pro Max BLE random disconnects on iOS 26 / 26.1 beta,iphone pro max ble random disconnect io beta,neutral,negative,negative,0
Silly question/vent about deadnaming…,silly questionvent deadnaming,neutral,negative,negative,0
How much better is iPhone 17 Pro Max Spatial Video on Vision Pro? Tested vs URSA Cine Immersive,much better iphone pro max spatial video vision pro tested v ursa cine immersive,positive,positive,positive,1
"Confused about eSIM with China Mobile (Ningbo number, living in Tianjin, Japan iPhone 17 Pro Max)",confused esim china mobile ningbo number living tianjin japan iphone pro max,negative,negative,negative,0
"Confused about eSIM with China Mobile (Ningbo number, living in Tianjin, Japan iPhone 17 Pro Max)",confused esim china mobile ningbo number living tianjin japan iphone pro max,negative,negative,negative,0
Perfect time to buy an iPhone,perfect time buy iphone,positive,positive,positive,1
Disappointed in screenprotector,disappointed screenprotector,negative,negative,negative,0
Does shipping really take that long?,shipping really take long,neutral,positive,positive,1
I feel like iPhone 17 pro (max) very slippery. Is that true?,feel like iphone pro max slippery true,positive,positive,positive,1
iPhone 17 Pro Max is more than I need but I love it. Going dual phone for at least a year.,iphone pro max need love going dual phone least year,positive,positive,positive,1
Best cases? iPhone 17 pro max,best case iphone pro max,positive,positive,positive,1
Best cases?,best case,positive,positive,positive,1
Is it safe to stick an adhesive MagSafe ring lower on the iPhone 17 Pro Max?,safe stick adhesive magsafe ring lower iphone pro max,positive,positive,positive,1
Is it safe to stick an adhesive MagSafe ring lower on the iPhone 17 Pro Max?,safe stick adhesive magsafe ring lower iphone pro max,positive,positive,positive,1
"Media loading very slow, or not at all",medium loading slow,neutral,negative,negative,0
"iPhone 17 Pro Max users, after a while have you felt like the size and weight is just too much?",iphone pro max user felt like size weight much,positive,positive,positive,1
Incredible Battery Life,incredible battery life,neutral,positive,positive,1
Delay on the new iPhones?,delay new iphones,negative,positive,positive,1
Unable To Install ESIM On New iPhone 17 Pro Max,unable install esim new iphone pro max,neutral,negative,negative,0
My iPhone 17? pro Max loses 4 % after restarting it(For a second time in 4 days),iphone pro max loses restarting itfor second time day,negative,negative,negative,0
iPhone17 Pro Max speaker soft or hardware issue,iphone pro max speaker soft hardware issue,neutral,positive,positive,1
Better offer than $830 off iPhone 17 pro max on unlimited welcome?,better offer iphone pro max unlimited welcome,positive,positive,positive,1
Curious glitch or iOS limit? 48MP RAW on ProCamera forces HDR ON - can anyone confirm?,curious glitch io limit mp raw procamera force hdr anyone confirm,positive,negative,negative,0
Reliable place to buy iPhone 17 and trade in my old phone,reliable place buy iphone trade old phone,neutral,positive,positive,1
How Many Hours Of Work Pay For An iPhone 17,many hour work pay iphone,negative,positive,positive,1
How Many Hours Of Work Pay For An iPhone 17,many hour work pay iphone,negative,positive,positive,1
Transferring to new iPhone without Updating,transferring new iphone without updating,neutral,positive,positive,1
My first shots with the iPhone 17 Pro Max in Berlin,first shot iphone pro max berlin,neutral,positive,positive,1
My first shots with the iPhone 17 Pro Max in Berlin,first shot iphone pro max berlin,neutral,positive,positive,1
When your wife drags you to Anthropology - After/Before,wife drag anthropology afterbefore,negative,negative,negative,0
Game needs a patch,game need patch,neutral,negative,negative,0
People doing Apple vs Samsung. While vivo sits at the top.,people apple v samsung vivo sits top,positive,positive,positive,1
Brake Lights and Rainfall.,brake light rainfall,neutral,positive,positive,1
17 Pro Max inkl. returresa New York,pro max inkl returresa new york,neutral,positive,positive,1
"By now everyone knows that the new iPhone 17 Pro Max is available in Gaza, but is anyone buying? Light Phone on Wahda St. Gaza City show Mahmoud Rayan buying one from them for 40,000 shekels in installments!!! Timestamp: 1 day ago",everyone know new iphone pro max available gaza anyone buying light phone wahda st gaza city show mahmoud rayan buying one shekel installment timestamp day ago,neutral,positive,positive,1
Which case looks best on the Silver iPhone 17 Pro Max?,case look best silver iphone pro max,positive,positive,positive,1
iPhone 17 pro max haptic randomly working,iphone pro max haptic randomly working,neutral,negative,negative,0
"Dropped my 17 PM (in a case) for the first time - guess what, nothing happened.",dropped pm case first time guess nothing happened,neutral,positive,positive,1
Vivo X300 Pro/Ultra - No RAW Video like iPhone 17 Pro (Max)?,vivo x proultra raw video like iphone pro max,positive,negative,negative,0
The Real Cost of the iPhone 17 Pro Max: What’s Behind Apple’s Billion-Dollar Pricing Machine - NEWS NEST,real cost iphone pro max whats behind apple billiondollar pricing machine news nest,neutral,negative,negative,0
The Real Problem with the iPhone Air,real problem iphone air,negative,positive,positive,1
"Random mmWave, downtown Denver on AT&T",random mmwave downtown denver att,neutral,negative,negative,0
"I feel like my soul is dead, while my body is alive. I have to come out with how I feel because I’ve kept it in me for too long.",feel like soul dead body alive come feel ive kept long,negative,negative,negative,0
"I feel like my soul is dead, while my body is alive. I have to come out with how I feel because I’ve kept it in me for too long.",feel like soul dead body alive come feel ive kept long,negative,negative,negative,0
Do you find that most experiences and interactions in life are just more awful now?,find experience interaction life awful,negative,negative,negative,0
Do you find that most experiences and interactions in life are just more awful now?,find experience interaction life awful,negative,negative,negative,0
"Just got my iPhone 17 pro max yesterday, the Backbone pro fits with this case",got iphone pro max yesterday backbone pro fit case,positive,positive,positive,1
"What can Apple users, who have made the switch, tell me are the main differences I'd experience switching from my pixel?",apple user made switch tell main difference id experience switching pixel,neutral,positive,positive,1
Slim & Strong! Benks Kevlar Fiber Cases for iPhone 17 Pro Max,slim strong benks kevlar fiber case iphone pro max,positive,positive,positive,1
"iPhone 17 Pro Max Preorder Delivery Timeline ,what’s the Usual Trend?",iphone pro max preorder delivery timeline whats usual trend,neutral,negative,negative,0
"New Phone, New Setup",new phone new setup,neutral,positive,positive,1
Maxwells refuse to connect to new iPhone 17 pro max through the app.,maxwell refuse connect new iphone pro max app,negative,positive,positive,1
Anyone else’s battery for iPhone 17 Pro Max draining very fast after updating to ios 26.1?,anyone elses battery iphone pro max draining fast updating io,neutral,positive,positive,1
Why is FLOLAB low ratings and ships late?,flolab low rating ship late,negative,negative,negative,0
Cancelled.. Reordered from Best Buy,cancelled reordered best buy,positive,positive,positive,1
Are there any major problems with the iPhone 17 yet?  Does it have scratching or denting issues like some of the Pro models do?,major problem iphone yet scratching denting issue like pro model,negative,positive,positive,1
"I don’t want an iPhone 17/Air, but this design concept has me curious",dont want iphone air design concept curious,positive,negative,negative,0
Beyond The Box unveils pre-order freebies for iPhone 17 Series worth PHP 15K,beyond box unveils preorder freebie iphone series worth php k,positive,positive,positive,1
Beyond The Box unveils pre-order freebies for iPhone 17 Series worth PHP 15K,beyond box unveils preorder freebie iphone series worth php k,positive,positive,positive,1
First Design: A Wavy MagSafe Charging Dock,first design wavy magsafe charging dock,neutral,positive,positive,1
I just don’t understand the hate Apple can get,dont understand hate apple get,positive,negative,negative,0
Super Moon Shot,super moon shot,positive,positive,positive,1
USB port on the iPhone 17 is just as fast as the one on the iPod nano 19 years ago.,usb port iphone fast one ipod nano year ago,neutral,positive,positive,1
"My estimated shipping date changed to the past, what does this mean?",estimated shipping date changed past mean,neutral,negative,negative,0
Top part of my iPhone 17 Pro screen looks a bit brighter than the bottom — normal?,top part iphone pro screen look bit brighter bottom normal,positive,positive,positive,1
Finally upgrading and I’m sad,finally upgrading im sad,negative,negative,negative,0
Love these cameras! iPhone 17 Pro edited in Lightroom,love camera iphone pro edited lightroom,positive,positive,positive,1
Is 'blue shift' when turning the phone normal on OLED iPhones?,blue shift turning phone normal oled iphones,neutral,positive,positive,1
iPhone 15 Pro Max: to fix or not to fix? It hates non genuine Apple parts,iphone pro max fix fix hate non genuine apple part,negative,negative,negative,0
Het Ontstaan van Fair Repair,het ontstaan van fair repair,positive,positive,positive,1
iPhone 17 Vs Samsung Galaxy s25 for a life long android user,iphone v samsung galaxy life long android user,neutral,negative,negative,0
How long you planning on keeping the iPhone 17?,long planning keeping iphone,neutral,negative,negative,0
iPhone 13 to iPhone 17. Very satisfied.,iphone iphone satisfied,positive,positive,positive,1
iPhone 17 12 month free multi network verification,iphone month free multi network verification,positive,positive,positive,1
"First iPhone – 15 Plus (pink), 16, 16 Plus, or 17?",first iphone plus pink plus,neutral,positive,positive,1
iPhone 17 Pro Deep Blue in the Luckycoin dark brown leather case,iphone pro deep blue luckycoin dark brown leather case,neutral,negative,negative,0
Loving the cameras,loving camera,positive,positive,positive,1
iPhone 17 Pro used wrong eSim data when running 26.0 on first day. $80 in overages.,iphone pro used wrong esim data running first day overage,negative,negative,negative,0
"Compact external storage for iPhone 17 Pro ProRes (not a long USB stick, not a dangling SSD)",compact external storage iphone pro prores long usb stick dangling ssd,neutral,negative,negative,0
Quite surprise a lot still on old iPhone?,quite surprise lot still old iphone,positive,positive,positive,1
New iPhone 17 pro running into this issue. Stuck on this any time I try to use the AI stuff. Anyone else?,new iphone pro running issue stuck time try use ai stuff anyone else,negative,positive,positive,1
iPhone 17 P from Best Buy,iphone p best buy,positive,positive,positive,1
"Returning Base 17 for Pro -- What Does ""Like New"" Mean Exactly?",returning base pro like new mean exactly,positive,negative,negative,0
Morning Sky in New England Fall 2025 Edition,morning sky new england fall edition,neutral,positive,positive,1
Is the iPhone 17 camera better than iPhone 15?,iphone camera better iphone,positive,positive,positive,1
Is the iPhone 17 camera better than iPhone 15?,iphone camera better iphone,positive,positive,positive,1
Should I buy the new iPhone 17 with or without plan?,buy new iphone without plan,neutral,positive,positive,1
Free upgrade?,free upgrade,positive,positive,positive,1
New Update: Version 10.80.0,new update version,neutral,positive,positive,1
USB port on the iPhone 17 is just as fast as the one on the iPod nano 19 years ago.,usb port iphone fast one ipod nano year ago,neutral,positive,positive,1
Supporting Travel + Sport activities with my first Watch?,supporting travel sport activity first watch,positive,positive,positive,1
PSA: AppleCare One Covering New iPhone Order Provisionally,psa applecare one covering new iphone order provisionally,neutral,positive,positive,1
iPhone 17 Pro Max mod with SSD cooler maintains 90% stability in 3DMark stress test,iphone pro max mod ssd cooler maintains stability dmark stress test,negative,positive,positive,1
iPhone 17 Pro Max AAA gaming test shows Resident Evil 4 running at 60 FPS without thermal throttling,iphone pro max aaa gaming test show resident evil running fps without thermal throttling,negative,negative,negative,0
"iPhone 17 Pro Max charges faster than ever, here’s how much [36 W compared to 30 W for the iPhone 16 Pro]",iphone pro max charge faster ever here much w compared w iphone pro,neutral,positive,positive,1
iPhone 17 Pro Max Review - Even BETTER Than You Think!,iphone pro max review even better think,positive,positive,positive,1
New iPhone Air & iPhone 17 Pro Max Challenges - SVP John Ternus Explains,new iphone air iphone pro max challenge svp john ternus explains,positive,positive,positive,1
New Report Lists RAM Amounts in iPhone 17 and iPhone 17 Pro Models,new report list ram amount iphone iphone pro model,neutral,positive,positive,1
iPhone 17 Pro Max's Internal Design With Metal Battery Allegedly Leaks,iphone pro max internal design metal battery allegedly leak,negative,negative,negative,0
iPhone 17 Base Model Rumored to Feature Larger Display,iphone base model rumored feature larger display,neutral,negative,negative,0
"Thicker, heavier iPhone 17 Pro Max revealed in new hands-on video",thicker heavier iphone pro max revealed new handson video,neutral,positive,positive,1
iPhone 17 Pro Max Rumors Allegedly Refer to 'iPhone 17 Ultra' Model,iphone pro max rumor allegedly refer iphone ultra model,neutral,negative,negative,0
Kuo: Next Year's Upgrade to 12GB RAM Will Be Limited to iPhone 17 Pro Max,kuo next year upgrade gb ram limited iphone pro max,negative,negative,negative,0
